experiment,seed,best_epoch,best_val_loss,test_loss,test_acc,test_clf_auroc,row_type,test_loss_mean,test_loss_std,test_acc_mean,test_acc_std,test_clf_auroc_mean,test_clf_auroc_std
vanilla_gine_mean,0,75,0.12501438028733555,0.12756291407265552,0.9696011673151751,0.7274480566756272,seed,,,,,,
vanilla_gine_mean,1,73,0.11648427457313129,0.13227667679814514,0.9654669260700389,0.7111317624327957,seed,,,,,,
vanilla_gine_mean,2,45,0.12747303413857747,0.1331377600823395,0.9647373540856031,0.7475428427419355,seed,,,,,,
bcos_gine_mean_readout_then_agg,0,81,0.1353741746526284,0.1278422404414021,0.9678988326848249,0.7587155577956989,seed,,,,,,
bcos_gine_mean_readout_then_agg,1,133,0.11583398924669402,0.13067082046070916,0.9640077821011673,0.7641146533378136,seed,,,,,,
bcos_gine_mean_readout_then_agg,2,176,0.13134504454609022,0.13180580468493214,0.9649805447470817,0.7436873459901434,seed,,,,,,
bcos_gine_mean_agg_then_readout,0,131,0.12695362369606003,0.12060981748284996,0.9674124513618677,0.790175571236559,seed,,,,,,
bcos_gine_mean_agg_then_readout,1,74,0.11144274342732671,0.12474767463680371,0.9647373540856031,0.7821696838597669,seed,,,,,,
bcos_gine_mean_agg_then_readout,2,101,0.11981537309022265,0.12346019966940935,0.9654669260700389,0.7809279793906811,seed,,,,,,
vanilla_gine_mean,,,,,,,summary,0.13099245031771337,0.0030011090029693904,0.9666018158236057,0.0026230041646179278,0.7287075539501195,0.018238186377981674
bcos_gine_mean_readout_then_agg,,,,,,,summary,0.13010628852901446,0.0020411963660007465,0.9656290531776913,0.0020249669255507055,0.755505852374552,0.010585148937872813
bcos_gine_mean_agg_then_readout,,,,,,,summary,0.12293923059635435,0.0021175509528560113,0.9658722438391699,0.0013828406379079053,0.7844244114956691,0.005019196775487311
