experiment,seed,best_epoch,best_val_loss,test_loss,test_acc,test_clf_auroc,test_expl_auroc,test_jaccard,row_type,test_loss_mean,test_loss_std,test_acc_mean,test_acc_std,test_clf_auroc_mean,test_clf_auroc_std,test_expl_auroc_mean,test_expl_auroc_std,test_jaccard_mean,test_jaccard_std
vanilla_gine_mean,0,43,0.00010571236496770053,0.0000826477554316322,1.0,1.0,NaN,NaN,seed,,,,,,,,,,
vanilla_gine_mean,1,27,0.000029380661674276154,0.0033512623311900015,0.9988888888888889,1.0,NaN,NaN,seed,,,,,,,,,,
vanilla_gine_mean,2,19,0.000059748434591635266,0.00006805626106344991,1.0,1.0,NaN,NaN,seed,,,,,,,,,,
bcos_gine_mean_readout_then_agg,0,47,0.00016866852799389144,0.00012895840782827387,1.0,1.0,0.9855930653834672,0.8897737817737819,seed,,,,,,,,,,
bcos_gine_mean_readout_then_agg,1,85,0.000044089650397254084,0.0022219500587582135,0.9988888888888889,1.0,0.9245348262372143,0.8016312657930305,seed,,,,,,,,,,
bcos_gine_mean_readout_then_agg,2,24,0.002158337029471857,0.0006484273063122398,1.0,1.0,0.9969305265086549,0.9511946941946943,seed,,,,,,,,,,
bcos_gine_mean_agg_then_readout,0,50,0.000050742986939068546,0.0017142042318017857,0.9988888888888889,1.0,0.9954362185914122,0.922984126984127,seed,,,,,,,,,,
bcos_gine_mean_agg_then_readout,1,24,0.00007077507796951953,0.0002104043463785072,1.0,1.0,0.9535411704940515,0.8375288045288046,seed,,,,,,,,,,
bcos_gine_mean_agg_then_readout,2,28,0.0016806276823882014,0.00013439504390892884,1.0,1.0,0.9943274817935487,0.9216363636363637,seed,,,,,,,,,,
vanilla_gine_mean,,,,,,,,,summary,0.0011673221158950279,0.0018913617781677744,0.9996296296296295,0.0006415002990995564,1.0,0.0,NaN,NaN,NaN,NaN
bcos_gine_mean_readout_then_agg,,,,,,,,,summary,0.0009997785909662425,0.001089834531769214,0.9996296296296295,0.0006415002990995564,1.0,0.0,0.9690194727097787,0.038939662749349416,0.8808665805871688,0.07517851058347062
bcos_gine_mean_agg_then_readout,,,,,,,,,summary,0.0006863345406964072,0.0008909721824699565,0.9996296296296295,0.0006415002990995564,1.0,0.0,0.9811016236263375,0.023874489669193595,0.8940497650497651,0.04895322614669409
