experiment_id,dataset,split,model_name,commit,metric_name,metric_value,seed,B,epoch
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.6917,42,NaN,1
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.6874,42,NaN,1
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.6089,42,NaN,2
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.6170,42,NaN,2
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.5852,42,NaN,3
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.6083,42,NaN,3
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.6155,42,NaN,4
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.6225,42,NaN,4
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.5836,42,NaN,5
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.6060,42,NaN,5
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.6054,42,NaN,6
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.6168,42,NaN,6
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.5950,42,NaN,7
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.6101,42,NaN,7
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.5665,42,NaN,8
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5942,42,NaN,8
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.6537,42,NaN,9
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.6838,42,NaN,9
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.5738,42,NaN,10
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.6108,42,NaN,10
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.5798,42,NaN,11
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.6159,42,NaN,11
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.6301,42,NaN,12
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.6595,42,NaN,12
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.5844,42,NaN,13
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.6022,42,NaN,13
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.5365,42,NaN,14
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5645,42,NaN,14
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.7366,42,NaN,15
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.7374,42,NaN,15
gnn_reg_cip,ZINC_SMALL,train,VanillaGNN,N/A,mae,0.5442,42,NaN,16
gnn_reg_cip,ZINC_SMALL,val,VanillaGNN,N/A,mae,0.5749,42,NaN,16
